Date,Open,High,Low,Close,Adj Close,Volume
2010-03-12,54.752659,54.752659,53.877663,66.800003,54.120712,23361800
2010-03-15,54.015385,54.031597,53.391548,66.300003,53.715622,22070000
2010-03-16,53.918163,54.023499,53.472572,66.570000,53.934372,35103700
2010-03-17,54.209846,54.922813,54.120712,67.360001,54.574432,38770000
2010-03-18,54.687851,54.882298,54.290855,67.389999,54.598732,25925500
2010-03-19,54.315163,55.003838,53.820957,67.040001,54.315163,45564200
2010-03-22,53.869556,54.444794,53.731838,66.970001,54.258450,21390600
2010-03-23,54.234158,54.266544,53.837139,66.949997,54.242245,24754700
2010-03-24,53.934372,54.169323,53.658913,66.500000,53.877663,19748800
2010-03-25,54.128826,54.217934,53.667015,66.300003,53.715622,21095600
2010-03-26,53.829048,54.185547,53.610294,66.540001,53.910065,30553400
2010-03-29,54.007298,54.671654,53.950584,67.300003,54.525818,26122200
2010-03-30,54.436691,54.525818,54.112617,67.050003,54.323254,17745900
2010-03-31,54.234158,54.436691,53.958672,66.980003,54.266544,22352500
2010-04-01,54.501503,54.930916,54.436691,67.610001,54.776966,19614700
2010-04-05,54.963318,55.384617,54.866100,68.190002,55.246887,20901100
2010-04-06,55.084843,55.376514,54.930916,67.900002,55.011936,19776800
2010-04-07,54.955223,54.971424,54.258450,67.339996,54.558216,24531500
2010-04-08,54.290855,55.271194,54.161228,67.860001,54.979515,24060800
2010-04-09,55.182072,55.886932,55.149673,68.760002,55.708702,21099600
2010-04-12,55.741112,55.943638,55.562855,68.709999,55.668175,18170300
2010-04-13,55.473732,55.708702,55.149673,68.660004,55.627666,19177100
2010-04-14,55.676292,55.757301,55.384617,68.610001,55.587166,18777800
2010-04-15,55.498032,55.676292,55.214474,68.260002,55.303596,16712900
2010-04-16,55.190163,55.660080,54.857994,67.930000,55.036232,33855100
2010-04-19,54.890408,55.449421,54.744560,68.230003,55.279301,25686000
2010-04-20,55.595264,56.081367,55.498032,68.970001,55.878830,22989500
2010-04-21,55.903145,56.251526,55.554760,68.919998,55.838306,21119200
2010-04-22,55.514248,55.684387,55.271194,68.559998,55.546665,21654700
2010-04-23,55.498032,56.121895,55.238777,69.239998,56.097584,24340000
2010-04-26,55.927444,56.332523,55.846428,69.290001,56.138096,18237100
2010-04-27,55.911247,56.713329,55.254982,68.269997,55.311691,36374700
